tag,knob,T,temp,eps,n,prog_mean,prog_max,prog_min,finishes,past_wall,len_med_s,len_mean_s,spread_25,spread_50,spread_75,spread_60s,spread_max,alive_60s,branches_end,branches_30s,branches_60s,cells,novel_cells,rare_cells,same_line,same_line_timed,same_line_60s
greedy,greedy,0.0,1.0,0.0,64,205251.71983337402,205251.71983337402,205251.71983337402,0,0.0,68.54,68.54,0.0,0.0,0.0,0.0,0.0,64,1,1,1,1112,0,0,1.0,1.0,1.0
eps_T0.02,eps,0.02,1.0,0.001,64,126050.47784695774,205459.59604263306,2816.0,0,0.015625,67.05,46.44703125,504.5072326660156,1078.5948486328125,2267.137451171875,3420.371826171875,6234.63525390625,34,27,3,8,3614,0,1,0.078125,0.0,0.078125
eps_T0.05,eps,0.05,1.0,0.0025000000000000005,64,86904.15448784828,205410.617729187,3153.759391784668,0,0.0,21.17,34.9759375,705.3883666992188,406.7286682128906,690.5396118164062,4954.87548828125,10593.21875,19,34,3,11,3406,0,6,0.03125,0.0,0.03125
eps_T0.1,eps,0.1,1.0,0.005000000000000001,64,46948.3360099867,198729.8267211914,3153.759391784668,0,0.0,11.87,20.7134375,307.1818542480469,1410.5765380859375,1602.7103271484375,256.9598388671875,3449.70556640625,2,37,5,1,2662,0,7,0.046875,0.0,0.046875
eps_T0.2,eps,0.2,1.0,0.010000000000000002,64,27703.238789428025,116948.13414001465,3116.047161102295,0,0.0,10.11,14.12296875,372.93743896484375,1121.0965576171875,2142.982177734375,nan,3556.8095703125,0,24,7,0,1631,0,12,0.015625,0.0,0.015625
