tag,knob,T,temp,eps,n,prog_mean,prog_max,prog_min,finishes,past_wall,len_med_s,len_mean_s,spread_25,spread_50,spread_75,spread_60s,spread_max,alive_60s,branches_end,branches_30s,branches_60s,cells,novel_cells,rare_cells,same_line,same_line_timed,same_line_60s
greedy,greedy,0.0,1.0,0.0,64,205251.71983337402,205251.71983337402,205251.71983337402,0,0.0,68.54,68.54,0.0,0.0,0.0,0.0,0.0,64,1,1,1,1112,0,0,1.0,1.0,1.0
sigma_T0,sigma,0.0,1.0,0.0,64,177319.79660893604,205440.0,3072.0,0,0.0,71.42,62.39890625,388.7306823730469,803.3046264648438,1254.1719970703125,1309.0311279296875,1707.2449951171875,52,10,1,1,3247,0,0,0.015625,0.0,0.015625
sigma_T0.1,sigma,0.1,1.1,0.0,64,165996.72467929125,205684.404838562,3423.2520751953125,0,0.015625,72.09,60.04421875,385.5111389160156,910.7005004882812,1569.287353515625,1702.9603271484375,5130.794921875,49,11,2,6,3480,0,2,0.078125,0.0,0.078125
sigma_T0.2,sigma,0.2,1.2,0.0,64,163644.60199987888,205382.1173095703,2560.0,0,0.0,72.75,59.4090625,528.6942749023438,1235.2015380859375,2255.2646484375,2481.080078125,2915.2138671875,46,20,4,6,3434,0,1,0.0,0.0,0.0
sigma_T0.3,sigma,0.3,1.3,0.0,64,121265.95386329293,205615.8285598755,3729.4739418029785,0,0.0625,64.62,46.25,609.4979858398438,1383.9937744140625,2174.068359375,3383.076904296875,4266.73046875,35,26,5,13,3657,0,23,0.03125,0.0,0.03125
sigma_T0.4,sigma,0.4,1.4,0.0,64,100644.47850040835,205695.62453460693,2304.0,0,0.015625,35.61,41.089375,410.9135437011719,1333.861572265625,999.229248046875,3568.486328125,7178.86767578125,23,38,4,12,3751,0,4,0.015625,0.0,0.015625
sigma_T0.5,sigma,0.5,1.5,0.0,64,61638.45803169813,203666.4232082367,2408.08837890625,0,0.0,13.03,25.87578125,241.01231384277344,847.2741088867188,323.3793029785156,2354.52099609375,2525.62109375,9,32,4,7,3049,0,11,0.03125,0.0,0.03125
sigma_T0.75,sigma,0.75,1.75,0.0,64,20446.283145919442,114347.33316421509,3681.420341491699,0,0.0,10.47,11.62578125,273.86016845703125,641.7120971679688,682.2810668945312,nan,5614.72998046875,0,19,3,0,1245,0,7,0.015625,0.0,0.015625
